                 534 0x80003f68 M (0xfef42623) sw      a5, -20(s0)
                 536 0x80003f6c M (0xfdc42783) lw      a5, -36(s0)
                 538 0x80003f70 M (0xfef42423) sw      a5, -24(s0)
                 538 0x80003f74 M (0x0000a839) c.j     pc + 30
                 541 0x80003f92 M (0xfdc42703) lw      a4, -36(s0)
                 542 0x80003f96 M (0xfd442783) lw      a5, -44(s0)
                 543 0x80003f9a M (0x000097ba) c.add   a5, a4
                 562 0x80003f9c M (0xfe842703) lw      a4, -24(s0)
                 563 0x80003fa0 M (0xfcf76be3) bltu    a4, a5, pc - 42
                 569 0x80003fa4 M (0x0000a099) c.j     pc + 70
                 579 0x80003fea M (0xfdc42783) lw      a5, -36(s0)
                 580 0x80003fee M (0x0000853e) c.mv    a0, a5
                 591 0x80003ff0 M (0x00005432) c.lwsp  s0, 44(sp)
                 591 0x80003ff2 M (0x00006145) c.addi16sp sp, 48
                 592 0x80003ff4 M (0x00008082) ret
                 592 0x80003652 M (0x8c418713) addi    a4, gp, -1852
                 593 0x80003656 M (0x00003797) auipc   a5, 0x3
                 593 0x8000365a M (0x9c278793) addi    a5, a5, -1598
                 595 0x8000365e M (0x40f707b3) sub     a5, a4, a5
                 598 0x80003662 M (0xfef42423) sw      a5, -24(s0)
                 598 0x80003666 M (0x00008712) c.mv    a4, tp
                 604 0x80003668 M (0xfec42783) lw      a5, -20(s0)
                 605 0x8000366c M (0x000097ba) c.add   a5, a4
                 608 0x8000366e M (0xfe842603) lw      a2, -24(s0)
                 608 0x80003672 M (0x00004581) c.li    a1, 0
                 609 0x80003674 M (0x0000853e) c.mv    a0, a5
                 609 0x80003676 M (0x181000ef) jal     pc + 0x980
                 610 0x80003ff6 M (0x00007179) c.addi16sp sp, -48
                 612 0x80003ff8 M (0x0000d622) c.swsp  s0, 44(sp)
                 612 0x80003ffa M (0x00001800) c.addi4spn s0, sp, 48
                 614 0x80003ffc M (0xfca42e23) sw      a0, -36(s0)
                 617 0x80004000 M (0xfcb42c23) sw      a1, -40(s0)
                 619 0x80004004 M (0xfcc42a23) sw      a2, -44(s0)
                 623 0x80004008 M (0xfdc42703) lw      a4, -36(s0)
                 626 0x8000400c M (0xfd442783) lw      a5, -44(s0)
                 627 0x80004010 M (0x00008fd9) c.or    a5, a4
                 628 0x80004012 M (0x00008b8d) c.andi  a5, 3
                 629 0x80004014 M (0x0000efb9) c.bnez  a5, pc + 94
                 632 0x80004016 M (0xfd842783) lw      a5, -40(s0)
                 633 0x8000401a M (0x0ff7f793) andi    a5, a5, 255
                 635 0x8000401e M (0xfef42223) sw      a5, -28(s0)
                 641 0x80004022 M (0xfe442783) lw      a5, -28(s0)
